
[*] sel 5.000000 5.000000 581.633333 171.533333 
Selecionado: Retângulo id 1, x = 11.700000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 2, x = 18.400000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 3, x = 25.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 4, x = 31.800000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 5, x = 38.500000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 6, x = 45.200000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 7, x = 51.900000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 8, x = 5.000000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 9, x = 5.000000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 10, x = 11.700000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 11, x = 18.400000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 12, x = 25.100000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 13, x = 31.800000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 14, x = 38.500000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 15, x = 45.200000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 16, x = 51.900000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 17, x = 51.900000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 18, x = 51.900000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 19, x = 5.000000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 20, x = 11.700000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 21, x = 18.400000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 22, x = 25.100000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 23, x = 31.800000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 24, x = 38.500000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 25, x = 45.200000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 26, x = 68.100000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 27, x = 74.800000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 28, x = 81.500000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 29, x = 88.200000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 30, x = 94.900000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 31, x = 101.600000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 32, x = 61.400000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 33, x = 108.300000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 34, x = 61.400000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 35, x = 108.300000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 36, x = 61.400000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 37, x = 108.300000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 38, x = 61.400000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 39, x = 68.100000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 40, x = 74.800000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 41, x = 81.500000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 42, x = 88.200000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 43, x = 94.900000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 44, x = 101.600000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 45, x = 108.300000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 46, x = 61.400000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 47, x = 108.300000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 48, x = 61.400000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 49, x = 108.300000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 50, x = 61.400000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 51, x = 108.300000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 52, x = 117.800000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 53, x = 124.500000, y = 5.000000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 54, x = 117.800000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 55, x = 124.500000, y = 11.900000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 56, x = 117.800000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 57, x = 124.500000, y = 18.800000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 58, x = 117.800000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 59, x = 124.500000, y = 25.700000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 60, x = 117.800000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 61, x = 124.500000, y = 32.600000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 62, x = 117.800000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 63, x = 124.500000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 64, x = 164.700000, y = 39.500000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 65, x = 117.800000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 66, x = 124.500000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 67, x = 158.000000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 68, x = 164.700000, y = 46.400000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 69, x = 117.800000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 70, x = 124.500000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 71, x = 131.200000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 72, x = 137.900000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 73, x = 144.600000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 74, x = 151.300000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 75, x = 158.000000, y = 53.300000, height = 6.000000, width = 6.000000
Selecionado: Retângulo id 76, x = 164.700000, y = 53.300000, height = 6.000000, width = 6.000000
