
[*] b 766.250000 91.250000 1000.000000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.948647, VMf: 14948.647000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.948647, VMf: 14948.647000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.908001, VMf: 13908.001000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.908001, VMf: 13908.001000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura Young_St, VMi: 14.144085, VMf: 14144.085000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 13.701354, VMf: 13701.354000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.574418, VMf: 14574.418000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Young_St, VMi: 14.144085, VMf: 14144.085000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.574418, VMf: 14574.418000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Young_St, VMi: 14.331472, VMf: 14331.472000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.864541, VMf: 14864.541000
Aresta no percurso em Largura Yukon_St, VMi: 13.780652, VMf: 13780.652000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.343294, VMf: 13343.294000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Young_St, VMi: 14.331472, VMf: 14331.472000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.864541, VMf: 14864.541000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.343294, VMf: 13343.294000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yukon_St, VMi: 10.666155, VMf: 10666.155000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Young_St, VMi: 14.532217, VMf: 14532.217000
Aresta no percurso em Largura Zeno_Pl, VMi: 6.968230, VMf: 6968.230000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zanowitz_St, VMi: 13.885074, VMf: 13885.074000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 7.995937, VMf: 7995.937000
